Compound name,	Molecular formula
Acetic acid,	CH3COOH
Hydrochloric acid,Hcl
Sulfuric acid,	H2SO4
Acetate,	CH3COO–
Ammonia,	NH3
Nitric acid,	HNO3
Phosphoric acid,	H3PO4
Sodium phosphate,	Na3PO4
Calcium carbonate,	CaCO3
Ammonium sulfate,	(NH4)2SO4
Carbonic acid,	H2CO3
Sodium bicarbonate,	NaHCO3
Sodium hydroxide,NaOH
Calcium hydroxide,	Ca(OH)2
Ethanol,	C2H5OH
Hydrobromic acid,Hbr
Nitrous acid,	HNO2
Potassium hydroxide,	KOH
Silver nitrate,	AgNO3
Sodium carbonate,	Na2CO3
Sodium chloride,NaCl
Cellulose,	(C6H10O5)n
Magnesium hydroxide,	Mg(OH)2
Methane,	CH4
Nitrogen dioxide,	NO2
Sodium nitrate,	NaNO3
Sulfurous acid,	H2SO3
Aluminium sulfate,	Al2(SO4)3
Aluminum oxide,	Al2O3
Ammonium nitrate,	NH4NO3
Ammonium phosphate,	(NH4)3PO4
Barium hydroxide,	Ba(OH)2
Carbon tetrachloride,	CCl4
Citric acid,	C6H8O7
Hydrocyanic acid,	HCN
Salicylic acid,	C7H6O3
Hydroiodic acid,	HI
Hypochlorous acid,HclO
Iron iii oxide,	Fe2O3
Magnesium phosphate,	Mg3(PO4)2
Sodium acetate,	C2H3NaO2
Sodium sulfate,	Na2SO4
Sucrose,	C12H22O11
Potassium nitrate,	KNO3
Ammonium bicarbonate,	NH4HCO3
Ammonium chloride,	NH4Cl
Ammonium hydroxide,	NH4OH
Calcium nitrate,	Ca(NO3)2
Calcium oxide,CaO
Carbon monoxide,	CO
Chlorine gas,	Cl2
Phenol,	C6H6O
Hydrogen peroxide,	H2O2
Hydroxide,	OH–
Magnesium chloride,	MgCl2
Potassium chloride,Kcl
Potassium iodide,	KI
Sulfur dioxide,	SO2
Glycerin,	C3H8O3
Barium nitrate,	Ba(NO3)2
Calcium acetate,	C4H6O4Ca
Iron oxide,	Fe2O3
Potassium carbonate ,	K2CO3
Silver chloride,AgCl
Sodium iodide,NaI
Sodium oxide,	Na2O
Sodium sulfide,	Na2S
Zinc nitrate,	Zn(NO3)2
Phenolphthalein,	C20H14O4
Magnesium nitrate,	Mg(NO3)2
Silicon dioxide,	SiO2
Acetone,	C3H6O
Hydroquinone,	C6H6O2
Pyridine,	C5H5N
Ammonium acetate,	C2H3O2NH4
Xylene,	C8H10
Barium sulfate,	BaSO4
Benzene,	C6H6
Bicarbonate,	CHO3–
Chromate,	CrO42-
Methyl Ethyl Ketone,	C4H8O
Cyanide,	CN?
Trichloroacetic acid,	C2HCl3O2
Magnesium sulfate,	MgSO4
Methanol,	CH3OH
Oxygen,	O
Methylene blue,	C16H18ClN3S
Sodium sulfite,	Na2SO3
Sulfur trioxide,	SO3
Aluminum phosphate,	AlPO4
Stearic acid,	C18H36O2
Dinitrogen monoxide,	N2O
Titanium dioxide,	TiO2
Acetonitrile,	C2H3N
Oxalic acid,	H2C2O4
Potassium dichromate,	K2Cr2O7
Sodium bromide,NaBr
Sodium hypochlorite,NaClO
Zinc acetate,	Zn(CH3COO)2(H2O)2
Zinc chloride,	ZnCl2
Zinc hydroxide,	Zn(OH)2
